Start_time,End_time,NE,Object,Number of CS Subscribers Roaming in the Home PLMN,Number of CS Subscribers Roaming Outside the Home PLMN Country,Number of EPS Active Subscribers,Number of EPS International Roaming Subscribers,Number of PS Subscribers Roaming in the Home PLMN,Number of PS Subscribers Roaming Outside the Home PLMN Country,Number of Static EPS Subscribers,Number of VoLTE Subscribers,Total Number of 2/3/4G Subscribers,Total Number of Subscribers
202401050305,202401050310,HLTU01_FE,Measurement object ID:Measurement OBJECT ID=OBJECT0,3.24796e+06,3464,477601,4260,1.86037e+06,3277,5.6901e+06,0,7.77044e+06,7.77044e+06
202401050305,202401050310,HLTU02_FE,Measurement object ID:Measurement OBJECT ID=OBJECT0,3.20446e+06,3474,474574,4303,1.83215e+06,3290,5.68673e+06,0,7.77044e+06,7.77044e+06
