Start_time,End_time,NE,Object,Successful Response Rate of AIR Messages,Successful Response Rate of CLR Messages,Successful Response Rate of IDR Messages,ULR-SR (LUSR EPS)
202401042105,202401042110,HLTU01_FE,Diameter Local Entity ID:Diameter local entity ID=0,98,100,0,100
202401042105,202401042110,HLTU02_FE,Diameter Local Entity ID:Diameter local entity ID=0,98,99,0,100
